id_1,id_2
0,747
1,4257
1,2194
1,580
1,6478
1,1222
1,5735
1,7146
1,2204
1,126
1,2639
2,562
2,1492
2,6
2,5303
2,7128
2,4154
2,5179
3,1728
3,4560
3,5060
3,1351
3,6503
3,7089
3,4319
3,6095
3,272
3,4433
3,2900
3,3381
3,5943
3,2107
3,6940
3,2013
3,6046
3,5823
4,5770
5,5454
6,5856
6,667
6,6180
6,598
6,870
6,3079
6,1834
6,6283
6,7340
6,7279
6,342
6,1492
6,4405
6,1462
6,7128
6,1284
6,1551
6,3291
6,167
7,177
7,6243
7,7589
7,2854
7,6931
7,6250
7,428
7,2142
8,1686
9,4481
9,1795
9,2660
9,6053
9,246
9,3843
9,6441
9,366
10,5489
11,5240
11,618
11,2412
11,1325
11,4919
12,5274
12,3807
13,1794
13,3971
13,1223
13,6152
13,5385
13,1509
13,524
13,4770
13,1937
13,7315
13,1817
13,6298
13,2266
13,3557
13,5857
13,866
13,2789
13,3559
13,4904
13,6565
13,5355
13,620
13,110
13,2835
13,3316
13,6712
13,1850
13,4860
13,4606
14,5862
14,2155
14,6438
14,3086
15,3530
15,7580
15,3029
15,5274
15,4375
16,7296
16,2626
16,131
16,6323
16,1799
16,3103
16,5578
16,7435
16,1677
16,5072
16,4008
16,3410
16,6446
16,4184
16,5725
16,1349
16,5088
16,6544
16,2530
16,1956
16,38
16,550
16,6567
16,4968
16,1005
16,6126
16,1905
16,3699
16,773
16,1016
16,2751
16,3324
16,766
16,6101
17,6105
17,4242
17,7237
17,1334
17,951
17,1337
17,3165
18,6372
18,4042
18,3596
18,7185
18,5139
18,615
18,2788
18,3163
18,5534
18,4319
18,6816
18,6436
18,421
18,4775
18,1384
18,3755
18,3820
18,4212
18,478
18,6136
18,6399
18,3581
18,7614
18,4085
19,2625
19,2692
19,1501
19,6703
20,2689
20,1316
20,5941
20,4151
20,4462
20,6463
21,3026
21,5764
22,5127
23,4248
23,7317
23,1854
23,646
23,3493
24,3643
25,3544
26,5345
27,4066
27,6339
27,1558
27,1896
27,4329
27,6396
27,3565
28,7224
28,1658
28,4900
29,4626
29,907
29,2838
29,7287
29,543
29,7579
29,6652
29,2711
30,7075
30,2644
30,3525
30,924
30,683
30,3499
30,5564
30,5854
31,1457
31,5274
31,3418
32,3136
32,1312
32,2195
32,5676
32,4845
32,1166
32,3155
32,6196
32,6709
32,5206
32,4187
32,1020
32,607
33,2626
33,2566
33,4040
33,2745
33,6859
33,4814
33,1875
33,1300
33,3221
33,407
33,3740
33,2170
33,3103
33,7074
33,5095
33,5617
33,2420
33,1973
33,4308
33,6101
33,3452
33,765
33,1150
33,213
34,2944
34,4408
34,5875
34,4717
34,3927
35,6747
35,7035
35,5283
35,4246
35,6887
35,2040
35,6475
35,4235
35,2301
35,2045
36,719
37,3991
38,6288
38,3794
38,1956
38,7565
38,2637
38,3023
39,1349
39,5095
40,5564
40,4908
40,1381
40,1678
41,1958
41,5414
41,3591
41,3562
41,524
41,3950
41,6287
42,3592
42,4335
42,2647
43,4681
43,2893
44,7042
44,3701
44,6870
44,7226
44,6507
44,6234
44,3597
45,3912
45,7537
45,3986
45,4852
45,3527
45,5896
45,5099
45,3340
45,865
45,4527
46,2442
46,2414
47,1792
47,7489
47,5378
47,6427
47,3845
47,6637
47,6408
47,2985
47,538
47,3181
47,5314
47,397
47,4657
47,4146
47,3128
47,3833
47,6458
47,6991
47,6876
47,1789
47,6207
48,1761
48,3250
48,7213
49,3360
49,4000
49,5510
49,3361
49,3400
49,2892
49,6605
49,2510
49,6096
49,7224
49,2072
49,3038
50,4415
51,7135
52,6840
52,2510
53,6572
53,1230
53,1390
54,2368
54,2626
54,5195
54,645
54,3911
54,5578
54,7435
54,1677
54,4973
54,3994
54,2843
54,4572
54,5725
54,5600
54,187
54,3300
54,5095
54,1005
54,4141
54,6446
54,4147
54,2420
54,2422
54,2615
54,1464
54,3565
54,1469
54,2303
55,5474
55,1932
55,494
56,4128
56,3008
56,2902
56,1457
56,5226
56,7214
57,7349
58,2177
58,6323
58,5108
58,3726
58,3302
58,2551
58,3080
58,5578
58,7411
58,1150
59,6004
59,6300
59,1564
59,1693
59,2414
60,4344
60,6504
61,1680
61,2940
62,4792
63,4616
63,4284
63,6221
63,4166
64,5162
64,4355
65,2916
65,6407
66,5605
67,2416
67,7555
67,4638
