id,target
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,0
11,1
12,0
13,0
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,1
23,1
24,0
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,0
79,1
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,0
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,1
149,0
150,1
151,0
152,0
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,1
166,0
167,1
168,1
169,0
170,1
171,1
172,0
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,0
324,1
325,1
326,1
327,0
328,1
329,0
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,1
347,1
348,0
349,1
350,0
351,1
352,1
353,1
354,1
355,1
356,0
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,0
380,1
381,1
382,1
383,1
384,1
385,0
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,1
402,0
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,0
415,0
416,1
417,0
418,1
419,1
420,0
421,1
422,0
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,0
437,1
438,1
439,0
440,0
441,1
442,0
443,0
444,0
445,0
446,1
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,1
455,1
456,0
457,0
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,0
482,0
483,1
484,0
485,0
486,0
487,1
488,1
489,1
490,1
491,1
492,0
493,1
494,0
495,1
496,0
497,1
498,1
499,0
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,1
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,1
534,0
535,1
536,1
537,1
538,1
539,0
540,1
541,1
542,1
543,0
544,0
545,1
546,1
547,1
548,0
549,1
550,0
551,0
552,1
553,1
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,0
565,1
566,1
567,0
568,0
569,1
570,1
571,1
572,0
573,1
574,1
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,0
583,1
584,0
585,0
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,1
604,1
605,0
606,1
607,0
608,1
609,0
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,1
618,0
619,0
620,1
621,1
622,1
623,0
624,1
625,0
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,0
634,1
635,1
636,0
637,1
638,1
639,0
640,1
641,0
642,0
643,0
644,1
645,0
646,0
647,1
648,1
649,1
650,0
651,1
652,0
653,1
654,0
655,0
656,1
657,0
658,0
659,0
660,1
661,1
662,1
663,1
664,0
665,1
666,1
667,1
668,1
669,1
670,1
671,0
672,0
673,0
674,0
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,1
683,1
684,1
685,0
686,1
687,1
688,0
689,1
690,0
691,0
692,1
693,0
694,1
695,1
696,0
697,0
698,0
699,1
700,1
701,1
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,1
710,1
711,1
712,0
713,1
714,0
715,0
716,0
717,1
718,1
719,1
720,0
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,1
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,0
738,0
739,1
740,0
741,1
742,1
743,1
744,1
745,0
746,1
747,0
748,1
749,1
750,0
751,0
752,1
753,0
754,1
755,1
756,1
757,1
758,0
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,1
768,0
769,1
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,0
781,0
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,0
790,1
791,0
792,1
793,1
794,1
795,0
796,0
797,0
798,1
799,0
800,1
801,0
802,0
803,1
804,0
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,1
813,1
814,1
815,1
816,0
817,1
818,1
819,1
820,1
821,1
822,0
823,0
824,1
825,1
826,1
827,0
828,1
829,0
830,1
831,1
832,0
833,1
834,1
835,1
836,0
837,1
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,1
848,1
849,1
850,0
851,0
852,0
853,1
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,1
863,0
864,0
865,0
866,1
867,0
868,0
869,1
870,1
871,1
872,1
873,1
874,0
875,1
876,0
877,1
878,0
879,1
880,1
881,1
882,0
883,1
884,1
885,1
886,0
887,0
888,1
889,0
890,1
891,1
892,1
893,1
894,1
895,1
896,0
897,0
898,0
899,1
900,1
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,1
912,1
913,1
914,0
915,1
916,0
917,1
918,1
919,0
920,0
921,0
922,0
923,1
924,1
925,0
926,0
927,0
928,1
929,1
930,0
931,1
932,1
933,0
934,1
935,0
936,1
937,1
938,0
939,1
940,1
941,1
942,1
943,1
944,1
945,1
946,1
947,0
948,1
949,1
950,1
951,0
952,0
953,1
954,0
955,1
956,1
957,1
958,0
959,1
960,0
961,0
962,0
963,1
964,1
965,0
966,1
967,1
968,1
969,1
970,0
971,1
972,0
973,1
974,0
975,1
976,1
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,1
986,1
987,0
988,1
989,0
990,0
991,0
992,1
993,1
994,0
995,1
996,0
997,1
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,1
1006,1
1007,0
1008,1
1009,1
1010,0
1011,0
1012,1
1013,1
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,1
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,0
1030,1
1031,1
1032,0
1033,0
1034,0
1035,0
1036,0
1037,1
1038,1
1039,1
1040,0
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,1
1048,0
1049,1
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,1
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,0
1068,1
1069,1
1070,0
1071,0
1072,1
1073,1
1074,0
1075,1
1076,0
1077,0
1078,0
1079,0
1080,1
1081,0
1082,1
1083,1
1084,0
1085,1
1086,1
1087,1
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,1
1097,1
1098,0
1099,0
1100,1
1101,0
1102,0
1103,1
1104,1
1105,1
1106,0
1107,0
1108,1
1109,0
1110,1
1111,1
1112,1
1113,1
1114,1
1115,0
1116,1
1117,0
1118,1
1119,1
1120,1
1121,0
1122,1
1123,1
1124,1
1125,0
1126,0
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,1
1136,0
1137,0
1138,1
1139,1
1140,0
1141,0
1142,0
1143,1
1144,1
1145,1
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,1
1154,0
1155,0
1156,0
1157,1
1158,1
1159,0
1160,1
1161,0
1162,1
1163,0
1164,1
1165,1
1166,0
1167,0
1168,1
1169,1
1170,1
1171,0
1172,0
1173,1
1174,1
1175,0
1176,1
1177,0
1178,1
1179,1
1180,1
1181,1
1182,0
1183,0
1184,0
1185,1
1186,0
1187,0
1188,0
1189,1
1190,1
1191,1
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,1
1200,1
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,0
1213,1
1214,0
1215,0
1216,0
1217,1
1218,1
1219,0
1220,0
1221,1
1222,1
1223,0
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
1230,0
